id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
396,Lefferts Pl & Franklin Ave,23,25,40.680342423,-73.9557689392,In Service,1,2,Lefferts Pl & Franklin Ave,,,,,,false,2020-02-22 10:47:28 AM,
397,Fulton St & Clermont Ave,26,27,40.68415748,-73.96922273,In Service,1,1,Fulton St & Clermont Ave,,,,,,false,2020-02-22 10:50:24 AM,
398,Atlantic Ave & Furman St,17,31,40.69165183,-73.9999786,In Service,1,13,Atlantic Ave & Furman St,,,,,,false,2020-02-22 10:49:59 AM,
399,Lafayette Ave & St James Pl,22,27,40.68851534,-73.9647628,In Service,1,5,Lafayette Ave & St James Pl,,,,,,false,2020-02-22 10:39:58 AM,
400,Pitt St & Stanton St,12,15,40.71926081,-73.98178024,In Service,1,2,Pitt St & Stanton St,,,,,,false,2020-02-22 10:46:33 AM,
401,Allen St & Rivington St,9,42,40.72019576,-73.98997825,In Service,1,33,Allen St & Rivington St,,,,,,false,2020-02-22 10:50:04 AM,
402,Broadway & E 22 St,0,39,40.7403432,-73.98955109,In Service,1,34,Broadway & E 22 St,,,,,,false,2020-02-22 10:47:18 AM,
403,E 2 St & 2 Ave,9,31,40.72502876,-73.99069656,In Service,1,22,E 2 St & 2 Ave,,,,,,false,2020-02-22 10:50:17 AM,
405,Washington St & Gansevoort St,16,51,40.739323,-74.008119,In Service,1,34,Washington St & Gansevoort St,,,,,,false,2020-02-22 10:50:16 AM,
406,Hicks St & Montague St,30,34,40.69512845,-73.99595065,In Service,1,4,Hicks St & Montague St,,,,,,false,2020-02-22 10:50:18 AM,
408,Market St & Cherry St,11,23,40.71076228,-73.99400398,In Service,1,12,Market St & Cherry St,,,,,,false,2020-02-22 10:49:38 AM,
410,Suffolk St & Stanton St,15,45,40.72066442,-73.98517977,In Service,1,30,Suffolk St & Stanton St,,,,,,false,2020-02-22 10:48:58 AM,
411,E 6 St & Avenue D,19,31,40.72228087,-73.97668709,In Service,1,12,E 6 St & Avenue D,,,,,,false,2020-02-22 10:49:14 AM,
412,Forsyth St & Canal St,21,29,40.7158155,-73.99422366,In Service,1,8,Forsyth St & Canal St,,,,,,false,2020-02-22 10:47:26 AM,
415,Pearl St & Hanover Square,33,42,40.7047177,-74.00926027,In Service,1,9,Pearl St & Hanover Square,,,,,,false,2020-02-22 10:48:58 AM,
416,Cumberland St & Lafayette Ave,28,31,40.68753406,-73.97265183,In Service,1,2,Cumberland St & Lafayette Ave,,,,,,false,2020-02-22 10:50:11 AM,
417,Barclay St & Church St,2,25,40.71291224,-74.01020234,In Service,1,21,Barclay St & Church St,,,,,,false,2020-02-22 10:48:07 AM,
418,Front St & Gold St,10,23,40.70224,-73.982578,In Service,1,12,Front St & Gold St,,,,,,false,2020-02-22 10:49:41 AM,
419,Carlton Ave & Park Ave,11,23,40.69580705,-73.97355569,In Service,1,11,Carlton Ave & Park Ave,,,,,,false,2020-02-22 10:47:26 AM,
420,Clermont Ave & Lafayette Ave,19,23,40.68764484,-73.96968902,In Service,1,4,Clermont Ave & Lafayette Ave,,,,,,false,2020-02-22 10:47:33 AM,
421,Clermont Ave & Park Ave,11,19,40.69573398,-73.97129668,In Service,1,7,Clermont Ave & Park Ave,,,,,,false,2020-02-22 10:49:39 AM,
422,W 59 St & 10 Ave,65,79,40.770513,-73.988038,In Service,1,14,W 59 St & 10 Ave,,,,,,false,2020-02-22 10:49:48 AM,
423,W 54 St & 9 Ave,13,27,40.76584941,-73.98690506,In Service,1,13,W 54 St & 9 Ave,,,,,,false,2020-02-22 10:50:16 AM,
426,West St & Chambers St,4,29,40.71754834,-74.01322069,In Service,1,24,West St & Chambers St,,,,,,false,2020-02-22 10:49:56 AM,
427,Bus Slip & State St,20,47,40.701907,-74.013942,In Service,1,27,Bus Slip & State St,,,,,,false,2020-02-22 10:47:24 AM,
432,E 7 St & Avenue A,13,31,40.72621788,-73.98379855,In Service,1,17,E 7 St & Avenue A,,,,,,false,2020-02-22 10:50:22 AM,
434,9 Ave & W 18 St,21,60,40.74317449,-74.00366443,In Service,1,38,9 Ave & W 18 St,,,,,,false,2020-02-22 10:47:52 AM,
435,W 21 St & 6 Ave,24,50,40.74173969,-73.99415556,In Service,1,25,W 21 St & 6 Ave,,,,,,false,2020-02-22 10:50:21 AM,
436,Hancock St & Bedford Ave,22,27,40.68216564,-73.95399026,In Service,1,4,Hancock St & Bedford Ave,,,,,,false,2020-02-22 10:50:27 AM,
437,Macon St & Nostrand Ave,17,24,40.6809833854,-73.9500479759,In Service,1,7,Macon St & Nostrand Ave,,,,,,false,2020-02-22 10:48:30 AM,
438,St Marks Pl & 1 Ave,6,47,40.72779126,-73.98564945,In Service,1,39,St Marks Pl & 1 Ave,,,,,,false,2020-02-22 10:49:50 AM,
439,E 4 St & 2 Ave,5,39,40.7262807,-73.98978041,In Service,1,33,E 4 St & 2 Ave,,,,,,false,2020-02-22 10:48:31 AM,
440,E 45 St & 3 Ave,28,32,40.75255434,-73.97282625,In Service,1,3,E 45 St & 3 Ave,,,,,,false,2020-02-22 10:49:15 AM,
442,W 27 St & 7 Ave,30,51,40.746647,-73.993915,In Service,1,21,W 27 St & 7 Ave,,,,,,false,2020-02-22 10:50:18 AM,
